"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002449","lymphocyte mediated immunity","105/1258","343/16666",0.306122448979592,4.0555140975309,16.3380870692228,2.33573249622745e-37,1.15642115888221e-33,1.01493723625546e-33,"IGLL5/CD96/IGHV2-70D/IGHV1-69D/IGHV3-64D/BATF/CTSC/SLAMF6/CLNK/CSF2RB/FCGR2A/FCGR2B/KLRK1/FOXJ1/RFTN1/GATA3/IGHV6-1/IGHV5-10-1/IGHV5-51/IGHV4-61/IGHV4-59/IGHV4-39/IGHV4-34/IGHV4-28/IGHV4-4/IGHV3-74/IGHV3-73/IGHV3-72/IGHV3-66/IGHV3-64/IGHV3-53/IGHV3-49/IGHV3-48/IGHV3-43/IGHV3-33/IGHV3-30/IGHV3-23/IGHV3-21/IGHV3-20/IGHV3-15/IGHV3-13/IGHV3-11/IGHV3-9/IGHV3-7/IGHV2-70/IGHV2-26/IGHV2-5/IGHV1-69/IGHV1-24/IGHV1-18/IGHV1-3/IGLC7/TBX21/HLA-DRB1/MR1/ICAM1/CFI/IGHA1/IGHA2/IGHG1/IGHG2/IGHG3/IGHG4/IGHM/IGKC/IGLC1/IGLC2/IGLC3/IGLC6/IL1R1/IL2RB/IL7R/IL10/IL13RA2/KLRD1/CLEC2A/LAG3/SH2D1A/MICB/NKG7/PDCD1/PRF1/CRTAM/IGHV7-4-1/SLAMF7/SECTM1/SLAMF1/SPN/STAT6/SERPING1/TNFRSF1B/C1R/C1S/C6/CCR2/C7/C9/IL18R1/FCGR2C/CD2/FCMR/CD8A/CD28/IL27RA/CD40LG",105
"GO:0016064","immunoglobulin mediated immune response","75/1258","185/16666",0.405405405405405,5.37081596700039,17.0815174948938,2.8750707202755e-36,7.117237568042e-33,6.24646943857751e-33,"IGLL5/IGHV2-70D/IGHV1-69D/IGHV3-64D/BATF/CSF2RB/FCGR2A/FCGR2B/FOXJ1/IGHV6-1/IGHV5-10-1/IGHV5-51/IGHV4-61/IGHV4-59/IGHV4-39/IGHV4-34/IGHV4-28/IGHV4-4/IGHV3-74/IGHV3-73/IGHV3-72/IGHV3-66/IGHV3-64/IGHV3-53/IGHV3-49/IGHV3-48/IGHV3-43/IGHV3-33/IGHV3-30/IGHV3-23/IGHV3-21/IGHV3-20/IGHV3-15/IGHV3-13/IGHV3-11/IGHV3-9/IGHV3-7/IGHV2-70/IGHV2-26/IGHV2-5/IGHV1-69/IGHV1-24/IGHV1-18/IGHV1-3/IGLC7/TBX21/CFI/IGHA1/IGHA2/IGHG1/IGHG2/IGHG3/IGHG4/IGHM/IGKC/IGLC1/IGLC2/IGLC3/IGLC6/IL2RB/IL10/IL13RA2/IGHV7-4-1/STAT6/SERPING1/C1R/C1S/C6/C7/C9/FCGR2C/FCMR/CD28/IL27RA/CD40LG",75
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","106/1258","361/16666",0.293628808864266,3.88999819438144,15.862097515409,6.77040927565125e-36,8.597919429849e-33,7.54599526016364e-33,"IGLL5/IGHV2-70D/IGHV1-69D/IGHV3-64D/BATF/CTSC/SLAMF6/CSF2RB/FCGR2A/FCGR2B/FOXJ1/RFTN1/GATA3/IGHV6-1/IGHV5-10-1/IGHV5-51/IGHV4-61/IGHV4-59/IGHV4-39/IGHV4-34/IGHV4-28/IGHV4-4/IGHV3-74/IGHV3-73/IGHV3-72/IGHV3-66/IGHV3-64/IGHV3-53/IGHV3-49/IGHV3-48/IGHV3-43/IGHV3-33/IGHV3-30/IGHV3-23/IGHV3-21/IGHV3-20/IGHV3-15/IGHV3-13/IGHV3-11/IGHV3-9/IGHV3-7/IGHV2-70/IGHV2-26/IGHV2-5/IGHV1-69/IGHV1-24/IGHV1-18/IGHV1-3/IGLC7/TBX21/ANXA1/HLA-DRB1/MR1/ICAM1/CFI/IGHA1/IGHA2/IGHG1/IGHG2/IGHG3/IGHG4/IGHM/IGKC/IGLC1/IGLC2/IGLC3/IGLC6/IL1R1/IL2RB/IL7R/IL10/IL13RA2/IRF4/KLRD1/LY9/MIR21/MICB/ASCL2/LEF1/PDCD1/PRF1/IGHV7-4-1/RORC/CCL19/SECTM1/SLAMF1/SPN/STAT4/STAT6/SERPING1/TNFRSF1B/C1R/C1S/C6/CCR2/C7/C9/IL18R1/KLHL6/FCGR2C/IL1RL1/FCMR/CD8A/CD28/IL27RA/CD40LG",106
"GO:0019724","B cell mediated immunity","75/1258","187/16666",0.401069518716578,5.31337408500038,16.9489323323448,6.94641036546072e-36,8.597919429849e-33,7.54599526016364e-33,"IGLL5/IGHV2-70D/IGHV1-69D/IGHV3-64D/BATF/CSF2RB/FCGR2A/FCGR2B/FOXJ1/IGHV6-1/IGHV5-10-1/IGHV5-51/IGHV4-61/IGHV4-59/IGHV4-39/IGHV4-34/IGHV4-28/IGHV4-4/IGHV3-74/IGHV3-73/IGHV3-72/IGHV3-66/IGHV3-64/IGHV3-53/IGHV3-49/IGHV3-48/IGHV3-43/IGHV3-33/IGHV3-30/IGHV3-23/IGHV3-21/IGHV3-20/IGHV3-15/IGHV3-13/IGHV3-11/IGHV3-9/IGHV3-7/IGHV2-70/IGHV2-26/IGHV2-5/IGHV1-69/IGHV1-24/IGHV1-18/IGHV1-3/IGLC7/TBX21/CFI/IGHA1/IGHA2/IGHG1/IGHG2/IGHG3/IGHG4/IGHM/IGKC/IGLC1/IGLC2/IGLC3/IGLC6/IL2RB/IL10/IL13RA2/IGHV7-4-1/STAT6/SERPING1/C1R/C1S/C6/C7/C9/FCGR2C/FCMR/CD28/IL27RA/CD40LG",75
"GO:0002443","leukocyte mediated immunity","115/1258","433/16666",0.265588914549654,3.51852531787323,15.1726248400261,2.46524619495976e-34,2.44108678224915e-31,2.14242869321976e-31,"IGLL5/CD96/IGHV2-70D/IGHV1-69D/IGHV3-64D/BATF/CTSC/SLAMF6/CLNK/CSF2RB/ACE/FCGR2A/FCGR2B/FGR/KLRK1/FOXF1/FOXJ1/RFTN1/GATA3/IGHV6-1/IGHV5-10-1/IGHV5-51/IGHV4-61/IGHV4-59/IGHV4-39/IGHV4-34/IGHV4-28/IGHV4-4/IGHV3-74/IGHV3-73/IGHV3-72/IGHV3-66/IGHV3-64/IGHV3-53/IGHV3-49/IGHV3-48/IGHV3-43/IGHV3-33/IGHV3-30/IGHV3-23/IGHV3-21/IGHV3-20/IGHV3-15/IGHV3-13/IGHV3-11/IGHV3-9/IGHV3-7/IGHV2-70/IGHV2-26/IGHV2-5/IGHV1-69/IGHV1-24/IGHV1-18/IGHV1-3/IGLC7/TBX21/ANXA3/HLA-DRB1/MR1/ICAM1/CFI/IGHA1/IGHA2/IGHG1/IGHG2/IGHG3/IGHG4/IGHM/IGKC/IGLC1/IGLC2/IGLC3/IGLC6/IL1R1/IL2RB/IL7R/IL10/IL13RA2/KLRD1/CLEC2A/LAG3/SH2D1A/MICB/NKG7/PDCD1/PRF1/CRTAM/IGHV7-4-1/PTGDR/SLAMF7/RAC2/CCL3/SECTM1/SLAMF1/SPN/STAT6/BST2/SERPING1/TNFRSF1B/C1R/C1S/C6/CCR2/C7/TYROBP/C9/IL18R1/CD84/FCGR2C/CD2/FCMR/CD8A/CD28/IL27RA/CD40LG",115
"GO:0003341","cilium movement","60/1258","236/16666",0.254237288135593,3.36813882676295,10.469217507378,2.16332266087546e-17,1.78510174899906e-14,1.56670104282349e-14,"ODAD3/DNAAF1/DNAI3/CFAP276/CFAP210/IQCF1/DNAAF6/CFAP54/DNAH2/CFAP52/CFAP57/NEK10/CFAP206/CFAP58/CFAP161/DAW1/DNAH5/DNAH9/SPAG17/ARMC3/GAS2L2/CFAP65/CATSPERD/CFAP45/CFAP61/RIBC2/DNAI1/CFAP157/CFAP47/CIMIP2C/CFAP100/CFAP77/HOATZ/CCDC88C/CFAP144/ZMYND10/CFAP46/CCDC40/ODAD2/MNS1/DNAH3/CFAP44/DNAH7/TAC1/DNALI1/CLXN/JHY/CFAP43/EFHC2/ODAD4/TEKT1/ROPN1L/TTC29/DRC7/DNAH11/ADAM7/DRC1/CFAP107/ODAD1/SPAG6",60
"GO:0002768","immune response-regulating cell surface receptor signaling pathway","75/1258","346/16666",0.216763005780347,2.87167905750021,10.0526184209257,3.67926738186968e-17,2.60229325823383e-14,2.28391214321173e-14,"CD24/LILRB2/LILRA2/FCRL3/CMKLR1/CD200R1/CTLA4/NFAM1/FCGR2A/FCGR2B/FGR/KLRK1/RFTN1/FPR3/LY96/GCSAM/PRKD2/PTPN22/GATA3/CLEC4E/TRBC2/TRBC1/FFAR2/TRAC/IGLC7/HLA-DQB1/HLA-DRB1/IGHA1/IGHA2/IGHG1/IGHG2/IGHG3/IGHG4/IGHM/IGKC/IGLC1/IGLC3/IGLC6/ITK/KLRD1/LCK/LCP2/LTF/SH2D1A/MICB/NFATC2/TRAT1/PIGR/UBASH3A/BTN2A3P/LAX1/BANK1/PRKCH/BLK/TRGC1/TRGC2/TEC/TLR5/C5AR1/TYROBP/FCN3/KLHL6/FCGR2C/CD3D/CD3E/CD3G/FCMR/CD8A/CD8B/CD14/MS4A1/CD28/CD79A/CD79B/TESPA1",75
"GO:0001819","positive regulation of cytokine production","88/1258","460/16666",0.191304347826087,2.53440243312366,9.53564603742864,2.45194131014502e-16,1.517445178316e-13,1.33179128003666e-13,"LILRB2/BATF/AGPAT2/LILRA2/SLAMF6/CGAS/GBP5/CLNK/NFAM1/CYP1B1/CLECL1P/DRD2/FCGR2A/FCGR2B/FGR/NLRP1/KLRK1/RFTN1/SULF1/FLT4/CLEC5A/LY96/ALOX15B/PRKD2/PTPN22/GATA3/CLEC4E/FFAR2/TBX21/ANXA1/HGF/HLA-DPA1/HSPB1/APOA2/IL1R1/IL10/IL15/IL16/IRF4/ISL1/ITK/SIGLEC16/LPL/LTB/LUM/LY9/MIR21/MEFV/MYB/ORM1/TLR7/RBM47/NLRP2/CRTAM/ZC3HAV1/CCL3/CCL19/GPSM3/SECTM1/SLAMF1/SPN/TLR5/C5AR1/TWIST1/CCR2/TYROBP/CALCA/CASP1/RUNX1/TNFRSF14/IL18R1/FCGR2C/CD2/CD3E/NLRP12/IL1RL1/ARRDC4/CD6/IL32/CD14/CD28/TNFRSF8/AIM2/IL27RA/CD34/CD36/CD40LG/CD58",88
"GO:0050853","B cell receptor signaling pathway","31/1258","74/16666",0.418918918918919,5.5498431659004,11.2081197317896,3.18554424682671e-16,1.75240328511545e-13,1.53800311706441e-13,"FCRL3/CTLA4/NFAM1/FCGR2B/RFTN1/GCSAM/PTPN22/IGLC7/IGHA1/IGHA2/IGHG1/IGHG2/IGHG3/IGHG4/IGHM/IGKC/IGLC1/IGLC3/IGLC6/ITK/LCK/NFATC2/BANK1/PRKCH/BLK/TEC/KLHL6/FCMR/MS4A1/CD79A/CD79B",31
"GO:0006959","humoral immune response","56/1258","222/16666",0.252252252252252,3.34184104613357,10.0369095766386,3.73266791089957e-16,1.84804388268638e-13,1.62194243538878e-13,"CCL26/CFHR3/VSIG4/CFD/A2M/FCGR2B/FGB/FOXJ1/GATA3/IGKV3-20/CFH/CFHR1/HLA-DQB1/HLA-DRB1/CFI/IGHA1/IGHA2/IGHG1/IGHG2/IGHG3/IGHG4/IGHM/JCHAIN/KRT1/LTF/SH2D1A/LYZ/CCL3L3/CXCL9/MMP7/NTS/PDCD1/CCL3/CCL4/CCL5/CCL18/CCL19/CCL22/CCL24/CXCL11/CXCL12/XCL2/TAC1/SERPING1/C1R/C1S/C6/CCR2/C7/C9/VIP/CALCA/FCN3/FCMR/MS4A1/CD28",56
