"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","38/666","80/7944",0.475,5.66576576576576,12.6873097680918,1.50966980166806e-20,4.71016978120434e-18,4.3383142721619e-18,"CCL26/IL24/CCR1/CCR4/CCR5/CXCR3/IL19/IL2RA/IL2RB/IL2RG/CXCR1/CXCR2/IL10/IL10RA/CCL3L3/CXCL9/IL22RA1/CCL3/CCL4/CCL5/CCL18/CCL19/CCL22/CCL24/CXCL11/CXCL12/XCL2/TNFRSF1A/TNFRSF1B/CCR2/CXCR4/TNFSF14/TNFRSF14/TNFRSF10D/TNFRSF10C/TNFRSF10A/IL18R1/CCL4L2",38
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","63/666","236/7944",0.266949152542373,3.18415025194686,10.30364838282,1.84409221330578e-17,2.87678385275702e-15,2.64966933806568e-15,"CCL26/IL24/CCR1/CCR4/CCR5/CSF2RB/IFNLR1/TNFRSF13B/CXCR3/IL19/IL1R1/IL1RN/IL2RA/FASLG/IL2RB/IL2RG/IL5RA/IL7R/CXCR1/CXCR2/IL10/IL10RA/IL13RA2/IL15/IL16/TNFRSF9/LTB/CCL3L3/CXCL9/TNFRSF11B/PRLR/IL22RA1/CCL3/CCL4/CCL5/CCL18/CCL19/CCL22/CCL24/CXCL11/CXCL12/BMP3/XCL2/TGFBR2/TNFRSF1A/TNFRSF1B/CCR2/CXCR4/INHBE/TNFSF14/TNFRSF14/TNFRSF10D/TNFRSF10C/TNFRSF10A/IL18R1/IL1RL1/IL32/TNFRSF8/TNFSF8/IL27RA/CCL4L2/CD40LG/TNFSF15",63
"Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","28/666","90/7944",0.311111111111111,3.71091091091091,7.82374022611021,4.31411370812545e-10,3.51452930772708e-08,3.23706646764336e-08,"CD24/LOC102723407/HLA-DPA1/HLA-DQA2/HLA-DQB1/HLA-DQB2/HLA-DRB1/HLA-DRB5/IL1R1/IL2RA/IL5RA/IL7R/ITGA1/ITGA4/ITGA5/KITLG/MME/CD2/CD3D/CD3E/CD3G/CD8A/CD8B/CD14/MS4A1/CD34/CD36/CD37",28
"Genetic Information Processing","Translation","hsa00970","Aminoacyl-tRNA biosynthesis","38/666","152/7944",0.25,2.98198198198198,7.46311947726847,4.50580680477831e-10,3.51452930772708e-08,3.23706646764336e-08,"TRF-GAA2-1/TRH-GTG1-6/TRL-CAA6-1/TRG-TCC2-6/TRE-CTC1-5/TRL-CAG1-6/TRE-TTC2-1/TRS-CGA1-1/TRA-AGC4-1/TRH-GTG1-9/TRM-CAT3-2/TRV-CAC8-1/TRI-AAT5-1/TRT-AGT1-1/TRE-CTC1-4/TRY-GTA8-1/TRX-CAT1-5/TRD-GTC2-10/TRG-GCC2-1/TRE-CTC1-3/TRK-CTT2-2/TRC-GCA2-4/TRNAV-CAC/TRC-GCA7-1/TRNE/TRNF/TRNG/TRNH/TRNI/TRNK/TRNL1/TRNL2/TRNP/TRNQ/TRNR/TRNS2/TRNV/TRL-TAG1-1",38
"Organismal Systems","Immune system","hsa04672","Intestinal immune network for IgA production","17/666","46/7944",0.369565217391304,4.40814727771249,7.01232563143042,7.05006879911022e-08,4.39924293064478e-06,4.05193427822545e-06,"LOC102723407/TNFRSF13B/ICOS/HLA-DPA1/HLA-DQA2/HLA-DQB1/HLA-DQB2/HLA-DRB1/HLA-DRB5/IL10/IL15/ITGA4/PIGR/CXCL12/CXCR4/CD28/CD40LG",17
"Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","20/666","65/7944",0.307692307692308,3.67013167013167,6.53848566967385,1.69920882184977e-07,8.83588587361881e-06,8.13831593622785e-06,"LOC102723407/CFD/FCGR2A/FCGR2B/FPR3/CFH/HLA-DPA1/HLA-DQA2/HLA-DQB1/HLA-DQB2/HLA-DRB1/HLA-DRB5/ICAM1/CFI/IL10/KRT19/C1R/C1S/C5AR1/FCGR2C",20
"Human Diseases","Immune disease","hsa05320","Autoimmune thyroid disease","15/666","42/7944",0.357142857142857,4.25997425997426,6.40757463842057,7.01924426149678e-07,3.12857744226714e-05,2.88158448629868e-05,"LOC102723407/CTLA4/HLA-DPA1/HLA-DQA2/HLA-DQB1/HLA-DQB2/HLA-DRB1/HLA-DRB5/FASLG/IL10/PRF1/TPO/TSHB/CD28/CD40LG",15
"Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","23/666","101/7944",0.227722772277228,2.71626081527072,5.25080918961854,7.18668774809162e-06,0.000280280822175573,0.000258153388845923,"GATA3/TBX21/HLA-DPA1/HLA-DQA2/HLA-DQB1/HLA-DQB2/HLA-DRB1/HLA-DRB5/IL1R1/IL2RA/IL2RB/IL2RG/IRF4/LCK/NFATC2/RORC/STAT6/TGFBR2/RUNX1/CD3D/CD3E/CD3G/IL27RA",23
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","30/666","154/7944",0.194805194805195,2.32362232362232,5.01740415335513,9.21836101082363e-06,0.000319569848375219,0.000294340649819281,"JAML/CTLA4/CLDN19/ICOS/HLA-DPA1/HLA-DQA2/HLA-DQB1/HLA-DQB2/HLA-DRB1/HLA-DRB5/ICAM1/ITGA4/F11R/CLDN18/PDCD1/PECAM1/SDC1/VSIR/SIGLEC1/SPN/VCAM1/ESAM/CD2/CD6/CD8A/CD8B/CD28/CD34/CD40LG/CD58",30
"Human Diseases","Immune disease","hsa05330","Allograft rejection","12/666","34/7944",0.352941176470588,4.20985691573927,5.67362020453454,1.06576291546948e-05,0.000332518029626477,0.000306266606234913,"LOC102723407/HLA-DPA1/HLA-DQA2/HLA-DQB1/HLA-DQB2/HLA-DRB1/HLA-DRB5/FASLG/IL10/PRF1/CD28/CD40LG",12
